Home_Team,Away_Team,Spread,Over_Under
La Salle,St. Bonaventure,+5.5,144.5
Iowa,Maryland,-11.5,135.5
NC State,Pittsburgh,-8.5,144.5
Iowa State,Arizona State,-11.5,147.5
Kentucky,LSU,-7.5,151.5
Bethune-Cookman,Prairie View A&M,-5.5,151.5
Richmond,Loyola Chicago,-5.5,143.5
Louisville,SMU,-6.5,163.5
Washington,USC,-5.5,152.5
Auburn,Mississippi State,-7.5,159.5
UNLV,Wyoming,-3.5,154.5
Cincinnati,UCF,-2.5,147.5
Providence,Butler,-1.5,162.5
McNeese,Stephen F. Austin,-1.5,137.5
Nevada,Air Force,-20.5,139.5
Morgan State,Delaware State,-2.5,143.5
Liberty,Missouri State,-5.5,144.5
Indiana,Northwestern,-4.5,142.5
Marquette,Xavier,-4.5,154.5
Texas,Ole Miss,-6.5,145.5
Boston University,Lehigh,-1.5,139.5
BYU,West Virginia,-4.5,142.5
Memphis,Tulane,-3.5,151.5
Florida State,California,-4.5,152.5
Tarleton State,Abilene Christian,-1.5,137.5
Florida A&M,Jackson State,-4.5,147.5
Colorado State,Fresno State,-7.5,145.5
Sam Houston,New Mexico State,-4.5,156.5
UC San Diego,Cal Poly,-5.5,158.5
Minnesota,Rutgers,-5.5,135.5
DePaul,Georgetown,-1.5,131.5
Florida Atlantic,Temple,-1.5,144.5
