Home_Team,Away_Team,Spread,Over_Under
Saint Louis,George Washington,-6.5,161.5
Michigan,Ohio State,-12.5,154.5
Louisiana Tech,Missouri St,-1.5,134.5
Florida,Kentucky,-10.5,159.5
UAB,Charlotte,-4.5,145.5
Alabama A&M,Prairie View,+1.5,143.5
Dayton,St. Bonaventure,-6.5,140.5
Illinois,Wisconsin,-7.5,156.5
Sam Houston,Kennesaw St,-3.5,161.5
Vanderbilt,Tennessee,-1.5,147.5
Tulsa,North Texas,-7.5,142.5
Toledo,UMass,-3.5,158.5
VCU,Duquesne,-8.5,153.5
St. John's,Seton Hall,-7.5,133.5
Howard,SC State,-15.5,144.5
Purdue,Nebraska,-3.5,142.5
Alabama,Ole Miss,-10.5,163.5
Arizona,Iowa State,-4.5,143.5
Virginia,Miami,-4.5,143.5
Akron,Kent State,-6.5,163.5
Saint Joseph's,Davidson,-1.5,131.5
UConn,Georgetown,-13.5,139.5
NC Central,Delaware St,-4.5,133.5
Southern,Florida A&M,-2.5,144.5
Michigan St,UCLA,-5.5,142.5
UC Irvine,CSU Northridge,-4.5,149.5
Utah Valley,UT Arlington,-8.5,134.5
Duke,Clemson,-11.5,134.5
Houston,Kansas,-5.5,134.5
Arkansas,Oklahoma,-6.5,168.5
Utah State,Nevada,-6.5,144.5
California Baptist,Utah Tech,-6.5,137.5
Hawai'i,Fullerton,-3.5,157.5
San Diego St,New Mexico,-1.5,149.5
