Home_Team,Away_Team,Spread,Over_Under
Miami OH,Massachusetts,-7.5,163.5
Ohio State,Iowa,+1.5,143.5
Virginia,NC State,-5.5,138.5
St. John's,Providence,-11.5,159.5
Missouri,Kentucky,+3.5,145.0
Texas Tech,Iowa State,+5.5,136.5
Wisconsin,Washington,-8.5,144.0
Toledo,Bowling Green,-1.0,154.5
Miami FL,Louisville,-1.0,154.0
Seton Hall,Creighton,-2.5,144.0
Arizona,UCF,-15.5,152.0
Tennessee,Auburn,-6.5,141.5
Norfolk State,South Carolina State,-7.5,141.5
Akron,Buffalo,-13.5,159.0
NC Central,Maryland-Eastern Shore,-8.5,137.0
Purdue,Northwestern,-11.5,143.5
Duke,Florida State,-17.5,151.5
Houston,BYU,-9.5,147.5
UConn,Xavier,-15.5,151.5
Georgia,Ole Miss,-6.5,156.5
Southern,Arkansas-Pine Bluff,-4.5,144.5
UCLA,Rutgers,-11.5,132.5
Kennesaw State,Western Kentucky,+1.0,159.5
North Carolina,Clemson,-1.5,148.5
Kansas,TCU,-5.5,148.5
Villanova,Georgetown,-8.5,138.5
Texas A&M,Oklahoma,-2.0,143.0
