Home_Team,Away_Team,Spread,Over_Under
Rutgers,Penn State,-4.5,150.5
Lehigh,Colgate,1.5,147.5
UNC Wilmington,Campbell,-6.5,149.5
High Point,Winthrop,-6.5,157.5
UIC,Northern Iowa,3.5,123.5
South Florida,Charlotte,-16.5,152.5
Tulane,Memphis,1.5,152.5
Navy,Boston U,-7.5,137.5
Central Arkansas,Queens Charlotte,-2.5,156.5
Tulsa,Temple,-11.5,153.5
Maryland,Illinois,15.5,145.5
UAB,East Carolina,-10.5,148.5
Rice,UTSA,-11.5,150.5
Green Bay,Northern Kentucky,2.5,145.5
ETSU,W. Carolina,-3.5,149.5
Michigan,Michigan State,-9.5,150.5
Nebraska,Iowa,-6.5,134.5
Oregon State,San Francisco,3.5,142.5
Nicholls,NW State,-3.0,139.0
Marshall,Ga. Southern,-3.5,170.5
Charleston,Towson,-2.5,133.5
Hofstra,William & Mary,-4.5,154.5
Montana State,Idaho,-2.5,142.5
Santa Clara,Pacific,-10.5,149.5
